date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-01-02,310.12,315.13,298.8,306.1,11658600,62.024,63.026,59.76,61.22,58293000,0.0,1.0
2019-01-03,300.36,309.4,297.38,307.0,6965200,60.072,61.88,59.476,61.4,34826000,0.0,1.0
2019-01-04,317.69,318.0,302.73,306.0,7394100,63.538,63.6,60.546,61.2,36970500,0.0,1.0
2019-01-07,334.96,336.74,317.75,321.72,7551200,66.992,67.348,63.55,64.344,37756000,0.0,1.0
2019-01-08,335.35,344.01,327.02,341.96,7008500,67.07,68.802,65.404,68.392,35042500,0.0,1.0
2019-01-09,338.53,343.5,331.47,335.5,5432900,67.706,68.7,66.294,67.1,27164500,0.0,1.0
2019-01-10,344.97,345.39,331.79,334.4,6056400,68.994,69.078,66.358,66.88,30282000,0.0,1.0
2019-01-11,347.26,348.41,338.77,342.09,5039100,69.452,69.682,67.754,68.418,25195500,0.0,1.0
2019-01-14,334.4,342.5,334.0,342.38,5247300,66.88,68.5,66.8,68.476,26236500,0.0,1.0
2019-01-15,344.43,348.8,334.5,335.0,6056600,68.886,69.76,66.9,67.0,30283000,0.0,1.0
2019-01-16,346.05,352.0,343.5,344.78,4691700,69.21,70.4,68.7,68.956,23458500,0.0,1.0
2019-01-17,347.31,351.5,344.15,346.21,3676700,69.462,70.3,68.83,69.242,18383500,0.0,1.0
2019-01-18,302.26,327.13,299.73,323.0,24150800,60.452,65.426,59.946,64.6,120754000,0.0,1.0
2019-01-22,298.92,308.0,295.5,304.82,12066700,59.784,61.6,59.1,60.964,60333500,0.0,1.0
2019-01-23,287.59,294.5,281.69,292.5,12530000,57.518,58.9,56.338,58.5,62650000,0.0,1.0
2019-01-24,291.51,293.68,279.28,283.03,8012200,58.302,58.736,55.856,56.606,40061000,0.0,1.0
2019-01-25,297.04,298.52,289.55,294.39,7249600,59.408,59.704,57.91,58.878,36248000,0.0,1.0
2019-01-28,296.38,297.46,287.75,292.91,6423300,59.276,59.492,57.55,58.582,32116500,0.0,1.0
2019-01-29,297.46,298.56,291.8,295.27,4621700,59.492,59.712,58.36,59.054,23108500,0.0,1.0
2019-01-30,308.77,309.0,298.49,300.45,11250300,61.754,61.8,59.698,60.09,56251500,0.0,1.0
2019-01-31,307.02,311.56,294.0,301.0,12569200,61.404,62.312,58.8,60.2,62846000,0.0,1.0
2019-02-01,312.21,316.1,303.5,305.42,7283400,62.442,63.22,60.7,61.084,36417000,0.0,1.0
2019-02-04,312.89,315.3,301.88,312.98,7352100,62.578,63.06,60.376,62.596,36760500,0.0,1.0
2019-02-05,321.35,322.44,312.25,312.49,6742800,64.27,64.488,62.45,62.498,33714000,0.0,1.0
2019-02-06,317.22,324.24,315.62,319.59,5038500,63.444,64.848,63.124,63.918,25192500,0.0,1.0
2019-02-07,307.51,314.7,303.0,313.3,6520600,61.502,62.94,60.6,62.66,32603000,0.0,1.0
2019-02-08,305.8,307.45,298.5,306.83,5844200,61.16,61.49,59.7,61.366,29221000,0.0,1.0
2019-02-11,312.84,318.6,310.5,311.6,7129700,62.568,63.72,62.1,62.32,35648500,0.0,1.0
2019-02-12,311.81,318.19,309.62,316.2,5517600,62.362,63.638,61.924,63.24,27588000,0.0,1.0
2019-02-13,308.17,312.75,305.57,312.35,5135700,61.634,62.55,61.114,62.47,25678500,0.0,1.0
2019-02-14,303.77,306.77,301.0,303.38,5200800,60.754,61.354,60.2,60.676,26004000,0.0,1.0
2019-02-15,307.88,308.0,303.9,304.5,3904900,61.576,61.6,60.78,60.9,19524500,0.0,1.0
2019-02-19,305.64,311.54,305.47,306.56,4168400,61.128,62.308,61.094,61.312,20842000,0.0,1.0
2019-02-20,302.56,306.3,299.0,304.41,7085800,60.512,61.26,59.8,60.882,35429000,0.0,1.0
2019-02-21,291.23,303.2399,290.5,301.81,8909182,58.246,60.64798,58.1,60.362,44545910,0.0,1.0
2019-02-22,294.71,296.5,292.1,294.49,5740558,58.942,59.3,58.42,58.898,28702790,0.0,1.0
2019-02-25,298.77,302.9,297.0,297.91,6626500,59.754,60.58,59.4,59.582,33132500,0.0,1.0
2019-02-26,297.86,302.01,288.77,292.22,8582500,59.572,60.402,57.754,58.444,42912500,0.0,1.0
2019-02-27,314.74,316.3,300.55,301.78,11183900,62.948,63.26,60.11,60.356,55919500,0.0,1.0
2019-02-28,319.88,320.0,310.81,318.92,10520700,63.976,64.0,62.162,63.784,52603500,0.0,1.0
2019-03-01,294.79,307.13,291.9,306.94,22874000,58.958,61.426,58.38,61.388,114370000,0.0,1.0
2019-03-04,285.36,299.0,282.78,298.12,17096800,57.072,59.8,56.556,59.624,85484000,0.0,1.0
2019-03-05,276.54,284.0,270.1,282.0,18764700,55.308,56.8,54.02,56.4,93823500,0.0,1.0
2019-03-06,276.24,281.51,274.39,276.48,10335500,55.248,56.302,54.878,55.296,51677500,0.0,1.0
2019-03-07,276.59,284.7,274.25,278.84,9442500,55.318,56.94,54.85,55.768,47212500,0.0,1.0
2019-03-08,284.14,285.59,275.89,276.91,8819600,56.828,57.118,55.178,55.382,44098000,0.0,1.0
2019-03-11,290.92,291.28,280.5,283.52,7392300,58.184,58.256,56.1,56.704,36961500,0.0,1.0
2019-03-12,283.36,288.07,281.06,286.49,7504100,56.672,57.614,56.212,57.298,37520500,0.0,1.0
2019-03-13,288.96,291.99,282.7,283.9,6844700,57.792,58.398,56.54,56.78,34223500,0.0,1.0
2019-03-14,289.96,295.39,288.29,292.45,7074200,57.992,59.078,57.658,58.49,35371000,0.0,1.0
2019-03-15,275.43,283.72,274.4,283.51,14785500,55.086,56.744,54.88,56.702,73927500,0.0,1.0
2019-03-18,269.49,278.05,267.3,276.0,10268200,53.898,55.61,53.46,55.2,51341000,0.0,1.0
2019-03-19,267.47,273.3,263.46,267.5,11800600,53.494,54.66,52.692,53.5,59003000,0.0,1.0
2019-03-20,273.6,274.97,266.3,269.69,6908200,54.72,54.994,53.26,53.938,34541000,0.0,1.0
2019-03-21,274.02,276.45,268.45,272.6,5947100,54.804,55.29,53.69,54.52,29735500,0.0,1.0
2019-03-22,264.53,272.8,264.0,272.58,8745600,52.906,54.56,52.8,54.516,43728000,0.0,1.0
2019-03-25,260.42,263.18,254.46,259.71,10215000,52.084,52.636,50.892,51.942,51075000,0.0,1.0
2019-03-26,267.77,270.26,264.43,264.44,7350900,53.554,54.052,52.886,52.888,36754500,0.0,1.0
2019-03-27,274.83,275.37,268.18,268.75,8779200,54.966,55.074,53.636,53.75,43896000,0.0,1.0
2019-03-28,278.62,280.33,275.1,277.16,6774100,55.724,56.066,55.02,55.432,33870500,0.0,1.0
2019-03-29,279.86,280.16,274.5,278.7,5991300,55.972,56.032,54.9,55.74,29956500,0.0,1.0
2019-04-01,289.18,289.2,281.28,282.62,8110400,57.836,57.84,56.256,56.524,40552000,0.0,1.0
2019-04-02,285.88,289.44,283.88,288.3,5478900,57.176,57.888,56.776,57.66,27394500,0.0,1.0
2019-04-03,291.81,296.17,287.17,287.32,7929900,58.362,59.234,57.434,57.464,39649500,0.0,1.0
2019-04-04,267.78,271.2,260.59,261.89,23720700,53.556,54.24,52.118,52.378,118603500,0.0,1.0
2019-04-05,274.96,276.1,266.11,269.86,13038300,54.992,55.22,53.222,53.972,65191500,0.0,1.0
2019-04-08,273.2,281.16,270.44,277.69,10410400,54.64,56.232,54.088,55.538,52052000,0.0,1.0
2019-04-09,272.31,275.0,269.61,271.65,5904000,54.462,55.0,53.922,54.33,29520000,0.0,1.0
2019-04-10,276.06,278.38,272.89,276.74,7061300,55.212,55.676,54.578,55.348,35306500,0.0,1.0
2019-04-11,268.42,270.5,265.6,268.3,9835900,53.684,54.1,53.12,53.66,49179500,0.0,1.0
2019-04-12,267.7,271.95,266.83,270.22,6746000,53.54,54.39,53.366,54.044,33730000,0.0,1.0
2019-04-15,266.38,268.88,258.63,268.63,10034300,53.276,53.776,51.726,53.726,50171500,0.0,1.0
2019-04-16,273.36,275.0,264.72,265.75,7272900,54.672,55.0,52.944,53.15,36364500,0.0,1.0
2019-04-17,271.23,274.79,268.54,274.75,5126500,54.246,54.958,53.708,54.95,25632500,0.0,1.0
2019-04-18,273.26,274.84,269.75,271.23,5876300,54.652,54.968,53.95,54.246,29381500,0.0,1.0
2019-04-22,262.75,269.68,262.48,269.0,12147100,52.55,53.936,52.496,53.8,60735500,0.0,1.0
2019-04-23,263.9,265.6,255.75,260.15,10935400,52.78,53.12,51.15,52.03,54677000,0.0,1.0
2019-04-24,258.66,265.32,258.0,263.85,10727500,51.732,53.064,51.6,52.77,53637500,0.0,1.0
2019-04-25,247.63,259.0,246.07,255.0,21835300,49.526,51.8,49.214,51.0,109176500,0.0,1.0
2019-04-26,235.14,246.68,231.13,246.5,22360700,47.028,49.336,46.226,49.3,111803500,0.0,1.0
2019-04-29,241.47,243.98,232.17,235.86,16714500,48.294,48.796,46.434,47.172,83572500,0.0,1.0
2019-04-30,238.69,244.21,237.0,242.06,9464600,47.738,48.842,47.4,48.412,47323000,0.0,1.0
2019-05-01,234.01,240.0,231.5,238.85,10704400,46.802,48.0,46.3,47.77,53522000,0.0,1.0
2019-05-02,244.1,247.13,237.72,245.52,18159300,48.82,49.426,47.544,49.104,90796500,0.0,1.0
2019-05-03,255.03,256.61,243.49,243.86,23706800,51.006,51.322,48.698,48.772,118534000,0.0,1.0
2019-05-06,255.34,258.35,248.5,250.02,10833900,51.068,51.67,49.7,50.004,54169500,0.0,1.0
2019-05-07,247.06,257.21,245.1,256.8,10131400,49.412,51.442,49.02,51.36,50657000,0.0,1.0
2019-05-08,244.84,250.6,244.2,246.94,6176400,48.968,50.12,48.84,49.388,30882000,0.0,1.0
2019-05-09,241.98,243.68,236.94,242.0,6711400,48.396,48.736,47.388,48.4,33557000,0.0,1.0
2019-05-10,239.52,241.99,236.02,239.75,7008300,47.904,48.398,47.204,47.95,35041500,0.0,1.0
2019-05-13,227.01,232.47,224.5,232.01,10834800,45.402,46.494,44.9,46.402,54174000,0.0,1.0
2019-05-14,232.31,234.5,228.0,229.3,7252400,46.462,46.9,45.6,45.86,36262000,0.0,1.0
